ax,ay,az,gx,gy,gz,quality
0.704223633,0.275756836,0.81652832,69.82421875,47.18017578,11.90185547,0
0.245239258,0.275756836,0.81652832,69.82421875,47.18017578,11.90185547,0
0.245239258,0.799316406,0.81652832,69.82421875,47.18017578,11.90185547,0
0.245239258,0.799316406,0.545166016,69.82421875,47.18017578,11.90185547,0
0.245239258,0.799316406,0.545166016,-11.29150391,47.18017578,11.90185547,0
0.245239258,0.799316406,0.545166016,-11.29150391,-9.948730469,11.90185547,0
0.245239258,0.799316406,0.545166016,-11.29150391,-9.948730469,5.676269531,0
0.290039063,0.799316406,0.545166016,-11.29150391,-9.948730469,5.676269531,0
0.290039063,0.722412109,0.545166016,-11.29150391,-9.948730469,5.676269531,0
0.290039063,0.722412109,0.545166016,-11.29150391,-9.948730469,5.676269531,0
-0.434204102,0.871459961,-0.326538086,22.64404297,-4.333496094,-13.91601563,1
-0.434204102,0.713378906,-0.326538086,22.64404297,-4.333496094,-13.91601563,1
-0.434204102,0.713378906,-0.46875,22.64404297,-4.333496094,-13.91601563,1
-0.434204102,0.713378906,-0.46875,-31.73828125,-4.333496094,-13.91601563,1
-0.434204102,0.713378906,-0.46875,-31.73828125,-4.333496094,-13.91601563,1
-0.434204102,0.713378906,-0.46875,-31.73828125,-112.487793,-13.91601563,1
-0.434204102,0.713378906,-0.46875,-31.73828125,-112.487793,127.0141602,1
-0.01550293,0.713378906,-0.46875,-31.73828125,-112.487793,127.0141602,1
-0.01550293,-0.012329102,-0.46875,-31.73828125,-112.487793,127.0141602,1
-0.01550293,-0.012329102,-0.46875,-31.73828125,-112.487793,127.0141602,1
-0.01550293,-0.012329102,1.249633789,-31.73828125,-112.487793,127.0141602,1
-0.01550293,-0.012329102,1.249633789,98.69384766,-112.487793,127.0141602,1
-0.01550293,-0.012329102,1.249633789,98.69384766,29.47998047,127.0141602,1
-0.01550293,-0.012329102,1.249633789,98.69384766,29.47998047,-91.30859375,1
-0.415161133,-0.012329102,1.249633789,98.69384766,29.47998047,-91.30859375,1
-0.415161133,0.75,1.249633789,98.69384766,29.47998047,-91.30859375,1
-0.415161133,0.75,-1.379394531,98.69384766,29.47998047,-91.30859375,1
-0.415161133,0.75,-1.379394531,-140.7470703,29.47998047,-91.30859375,1
-0.415161133,0.75,-1.379394531,-140.7470703,29.47998047,-91.30859375,1
-0.415161133,0.75,-1.379394531,-140.7470703,-11.10839844,-91.30859375,1
-0.415161133,0.75,-1.379394531,-140.7470703,-11.10839844,103.0273438,1
0.628173828,0.75,-1.379394531,-140.7470703,-11.10839844,103.0273438,1
0.628173828,-0.635620117,-1.379394531,-140.7470703,-11.10839844,103.0273438,1
0.628173828,-0.635620117,0.951660156,-140.7470703,-11.10839844,103.0273438,1
0.628173828,-0.635620117,0.951660156,112.1826172,-11.10839844,103.0273438,1
0.628173828,-0.635620117,0.951660156,112.1826172,28.74755859,103.0273438,1
0.628173828,-0.635620117,0.951660156,112.1826172,28.74755859,103.0273438,1
0.628173828,-0.635620117,0.951660156,112.1826172,28.74755859,-90.45410156,1
-0.696655273,-0.635620117,0.951660156,112.1826172,28.74755859,-90.45410156,1
-0.696655273,1.276245117,0.951660156,112.1826172,28.74755859,-90.45410156,1
-0.696655273,1.276245117,0.951660156,112.1826172,28.74755859,-90.45410156,1
-0.696655273,1.276245117,-0.567749023,112.1826172,28.74755859,-90.45410156,1
-0.696655273,1.276245117,-0.567749023,-109.375,28.74755859,-90.45410156,1
-0.696655273,1.276245117,-0.567749023,-109.375,-47.48535156,-90.45410156,1
-0.696655273,1.276245117,-0.567749023,-109.375,-47.48535156,-90.45410156,1
-0.696655273,1.276245117,-0.567749023,-109.375,-47.48535156,110.168457,1
1.1015625,1.276245117,-0.567749023,-109.375,-47.48535156,110.168457,1
1.1015625,-0.118896484,-0.567749023,-109.375,-47.48535156,110.168457,1
1.1015625,-0.118896484,0.19934082,-109.375,-47.48535156,110.168457,1
1.1015625,-0.118896484,0.19934082,101.0742188,-47.48535156,110.168457,1
1.1015625,-0.118896484,0.19934082,101.0742188,24.59716797,110.168457,1
1.1015625,-0.118896484,0.19934082,101.0742188,24.59716797,-85.51025391,1
1.1015625,-0.118896484,0.19934082,101.0742188,24.59716797,-85.51025391,1
-0.764160156,-0.118896484,0.19934082,101.0742188,24.59716797,-85.51025391,1
-0.557861328,0.74230957,-0.368652344,2.014160156,0.549316406,0.122070313,1
-0.564086914,0.74230957,-0.368652344,2.014160156,0.549316406,0.122070313,1
-0.564086914,0.724243164,-0.368652344,2.014160156,0.549316406,0.122070313,1
-0.564086914,0.724243164,-0.406738281,2.014160156,0.549316406,0.122070313,1
-0.564086914,0.724243164,-0.406738281,-37.65869141,0.549316406,0.122070313,1
-0.564086914,0.724243164,-0.406738281,-37.65869141,0.549316406,0.122070313,1
-0.564086914,0.724243164,-0.406738281,-37.65869141,-173.2788086,0.122070313,1
-0.564086914,0.724243164,-0.406738281,-37.65869141,-173.2788086,100.6469727,1
0.141113281,0.724243164,-0.406738281,-37.65869141,-173.2788086,100.6469727,1
0.141113281,0.507568359,-0.406738281,-37.65869141,-173.2788086,100.6469727,1
0.141113281,0.507568359,0.38659668,-37.65869141,-173.2788086,100.6469727,1
0.141113281,0.507568359,0.38659668,29.66308594,-173.2788086,100.6469727,1
0.141113281,0.507568359,0.38659668,29.66308594,-173.2788086,100.6469727,1
0.141113281,0.507568359,0.38659668,29.66308594,131.7138672,100.6469727,1
0.141113281,0.507568359,0.38659668,29.66308594,131.7138672,-50.59814453,1
-0.149658203,0.507568359,0.38659668,29.66308594,131.7138672,-50.59814453,1
-0.149658203,0.507568359,0.38659668,29.66308594,131.7138672,-50.59814453,1
-0.149658203,1.123291016,0.38659668,29.66308594,131.7138672,-50.59814453,1
-0.149658203,1.123291016,-0.75378418,29.66308594,131.7138672,-50.59814453,1
-0.149658203,1.123291016,-0.75378418,31.43310547,131.7138672,-50.59814453,1
-0.149658203,1.123291016,-0.75378418,31.43310547,5.737304688,-50.59814453,1
-0.149658203,1.123291016,-0.75378418,31.43310547,5.737304688,38.0859375,1
0.118408203,1.123291016,-0.75378418,31.43310547,5.737304688,38.0859375,1
0.118408203,1.123291016,-0.75378418,31.43310547,5.737304688,38.0859375,1
0.118408203,0.678833008,-0.75378418,31.43310547,5.737304688,38.0859375,1
0.118408203,0.678833008,0.662719727,31.43310547,5.737304688,38.0859375,1
0.118408203,0.678833008,0.662719727,-29.47998047,5.737304688,38.0859375,1
0.118408203,0.678833008,0.662719727,-29.47998047,-48.27880859,38.0859375,1
0.118408203,0.678833008,0.662719727,-29.47998047,-48.27880859,-72.81494141,1
